feature,importance_rf,importance_gbt
sea_level_pressure_hpa,0.10178442696207023,0.16730942907321888
sunshine_duration_min,0.09009682949081885,0.047903062076080034
relative_humidity_pct,0.07375904891956457,0.09752611500312686
temp_dewpoint_diff,0.07177571624837213,0.09834763272134085
cloud_cover_oktas,0.06027392553310308,0.1929966712095331
wind_speed_ms,0.054299812261086274,0.05768052924782422
wind_direction_sin,0.05314498487716345,0.027465448900322344
wind_direction_cos,0.05122799205605996,0.0343330957050469
humidity_temp_interaction,0.05093312346708774,0.025336063066286094
temperature_c,0.049952041295617186,0.022748683537505848
station_longitude,0.049890235943962274,0.0338452300843896
dew_point_c,0.049546400879969046,0.026568840789921676
visibility_m,0.04912455758484863,0.033541377638936186
station_latitude,0.048290686235729845,0.029411089598153757
station_elevation,0.04470485308545787,0.020710614181407523
hour_sin,0.027288299337361047,0.010851676914848245
month_sin,0.027027577744183663,0.03456923478541996
hour_cos,0.02540380151152185,0.011214733881202761
month_cos,0.021475686566022178,0.027640471585435224
