threshold,precision,recall,f1,expected_profit
0.1,0.39893723681572085,0.9992466097438473,0.5702206936084838,337800
0.15,0.4055698813821558,0.9874434957307886,0.574979893251444,333070
0.2,0.4179772826561817,0.9610748367654445,0.5825848683209012,321660
0.25,0.4370750328044853,0.9201406328478152,0.5926405175899717,303310
0.3,0.45461879790237997,0.8490708186840783,0.5921709431649006,267490
0.35,0.4788597053171044,0.7508789552988449,0.5847838842167026,216860
0.4,0.5073319755600815,0.6255650426921145,0.5602789023841656,150360
0.45,0.5311727547377094,0.48568558513309895,0.5074117801390529,73930
0.5,0.5543086172344689,0.34731290808638876,0.4270495599814729,-2770
0.55,0.5779935275080906,0.22425916624811654,0.3231409444544961,-71670
0.6,0.6174801362088536,0.1366147664490206,0.22373020769072588,-120870
0.65,0.6294536817102138,0.06654947262682069,0.12037247331364978,-160910
0.7,0.6459627329192547,0.026117528879959818,0.05020516533912624,-184070
0.75,0.6304347826086957,0.007282772476142642,0.014399205561072492,-194920
0.8,0.6,0.0022601707684580612,0.004503377533149862,-197810
0.85,0.6,0.0007533902561526871,0.0015048908954100827,-198670
0.9,1.0,0.00025113008538422905,0.0005021340697966357,-198950
